sale_price,year_sold,year_built,lot_area,basement_area,living_area,full_bath,half_bath,bedroom,garage_cars,garage_area,ac,zoning,neighborhood,quality,condition
96500,2010,1910,8800,576,1140,1,0,3,0,0,Y,Residential_Medium_Density,nb_13,average,good
109500,2010,1920,4485,936,936,1,0,2,0,0,Y,Residential_Medium_Density,nb_13,average,good
115000,2010,1927,8960,1008,1028,1,0,2,2,360,Y,Residential_Medium_Density,nb_13,average,average
143000,2010,1957,5805,1347,1347,1,0,3,2,551,Y,Residential_Medium_Density,nb_13,average,good
107400,2010,1915,5790,840,1605,2,0,3,1,379,N,Residential_Medium_Density,nb_13,fair,average
80000,2010,1945,4608,747,747,1,0,2,1,220,Y,Residential_Medium_Density,nb_13,average,average
129000,2010,1948,11851,1027,1633,1,0,3,1,240,Y,Residential_Medium_Density,nb_13,average,good
100000,2010,1920,8239,1008,1245,1,0,3,1,315,Y,Residential_Medium_Density,nb_13,average,average
105900,2010,1928,8520,624,720,1,0,2,2,484,Y,Residential_Medium_Density,nb_13,average,good
139000,2010,1915,10800,686,1652,2,0,4,1,416,Y,Residential_Medium_Density,nb_13,average,average
240000,2010,1890,9000,346,2268,3,0,3,2,624,Y,Residential_Medium_Density,nb_13,good,excellent
125500,2010,1910,7740,622,1363,1,0,3,2,528,Y,Residential_Medium_Density,nb_13,average,good
128500,2010,1950,5830,988,1612,1,1,3,1,363,Y,Residential_Medium_Density,nb_23,average,average
209500,2010,1922,7793,1108,2068,1,1,3,1,315,N,Residential_Low_Density,nb_23,good,good
128000,2010,1940,6000,572,1196,1,1,3,2,576,Y,Residential_Medium_Density,nb_23,average,average
132000,2010,1942,6360,835,1453,1,1,3,1,240,Y,Residential_Medium_Density,nb_23,average,average
139900,2010,1948,6000,780,1416,1,1,3,1,312,Y,Residential_Medium_Density,nb_23,average,good
123900,2010,1936,6240,528,1040,1,0,2,2,624,Y,Residential_Medium_Density,nb_23,average,good
109500,2010,1923,6120,1124,1068,1,0,2,1,288,Y,Residential_Medium_Density,nb_13,average,average
140000,2010,1921,10300,576,1710,2,0,3,2,480,Y,Residential_Medium_Density,nb_13,good,average
149500,2010,1915,8094,888,1962,1,1,4,2,572,Y,Residential_Medium_Density,nb_13,average,average
122000,2010,1920,3068,662,1324,1,0,3,1,180,Y,Residential_Medium_Density,nb_13,average,good
110000,2010,1963,8472,816,816,1,0,2,2,516,N,Residential_Medium_Density,nb_06,average,average
140000,2010,1900,7630,360,1812,2,0,4,2,672,Y,Residential_Medium_Density,nb_13,average,excellent
244400,2010,1940,24090,1032,2403,2,0,4,1,349,Y,Residential_Low_Density,nb_16,good,good
173000,2010,1959,15263,1422,1675,2,0,3,1,365,Y,Residential_Low_Density,nb_16,average,average
107500,2010,1917,10632,689,1224,1,1,3,1,180,N,Residential_Low_Density,nb_16,average,fair
100000,2010,1915,9900,1212,1392,1,0,3,0,0,N,Residential_Low_Density,nb_11,average,average
94000,2010,1875,6342,780,1020,1,0,2,0,0,N,Residential_Low_Density,nb_17,average,good
136000,2010,1967,10773,1832,1832,2,0,4,0,0,N,Residential_Low_Density,nb_17,average,fair
121500,2010,1957,11341,1392,1392,1,1,3,2,528,Y,Residential_Low_Density,nb_17,average,average
125000,2010,1967,8521,912,912,1,0,3,1,336,Y,Residential_Low_Density,nb_17,average,average
154000,2010,1968,8246,1060,1060,1,0,3,1,270,Y,Residential_Low_Density,nb_17,average,good
137900,2010,1966,7800,864,892,1,0,3,1,416,Y,Residential_Low_Density,nb_17,average,good
158000,2010,1969,9364,663,1352,1,1,4,1,299,Y,Residential_Low_Density,nb_17,average,good
137250,2010,1968,7832,864,864,1,0,2,1,280,Y,Residential_Low_Density,nb_17,average,average
160250,2010,1978,7424,1319,1373,1,0,3,2,591,Y,Residential_Low_Density,nb_17,average,average
328000,2010,1996,14000,1306,2260,2,1,3,2,533,Y,Residential_Low_Density,nb_16,good,average
270000,2010,1977,20062,1420,1483,1,1,1,2,690,Y,Residential_Low_Density,nb_16,good,good
128000,2010,1950,9600,1067,1067,2,0,2,2,436,Y,Residential_Low_Density,nb_17,average,good
260000,2010,1979,23595,1332,1524,0,1,0,2,586,Y,Residential_Low_Density,nb_16,good,average
230000,2010,1978,17082,1117,1981,2,1,4,2,522,Y,Residential_Low_Density,nb_16,average,average
124000,2010,1938,18600,972,1610,2,0,4,1,480,Y,Residential_Low_Density,nb_01,fair,average
144500,2010,1950,11479,663,1074,1,0,3,1,467,Y,Residential_Low_Density,nb_01,average,good
127000,2010,1947,9350,756,1531,1,0,3,1,209,Y,Residential_Low_Density,nb_01,average,average
128000,2010,1954,9525,1172,1172,1,0,3,1,366,Y,Residential_Low_Density,nb_01,average,good
186000,2010,2009,10420,1212,1212,2,0,3,2,460,Y,Residential_Low_Density,nb_01,average,average
114000,2010,1964,11200,1250,1298,2,0,3,2,504,Y,Residential_Low_Density,nb_01,average,fair
178000,2010,1985,9206,741,1732,2,1,3,2,476,Y,Residential_Low_Density,nb_24,average,average
270000,2010,1987,11980,1433,1433,1,1,1,2,528,Y,Residential_Low_Density,nb_24,good,average
218000,2010,1993,12361,946,1802,2,1,3,4,1017,Y,Residential_Low_Density,nb_24,average,good
236000,2010,1993,9938,1050,1949,2,1,3,2,574,Y,Residential_Low_Density,nb_24,good,average
147000,2010,1992,9069,936,996,1,0,2,2,564,Y,Residential_Low_Density,nb_24,average,average
245350,2010,2008,10475,1694,1694,2,0,3,3,776,Y,Residential_Low_Density,nb_08,good,average
198900,2010,2009,10402,1226,1226,2,0,3,3,740,Y,Residential_Low_Density,nb_08,good,average
320000,2010,1990,12376,1673,3222,3,0,5,3,594,Y,Residential_Low_Density,nb_24,good,average
138500,2010,1900,14235,676,1445,2,0,3,2,484,Y,Residential_Low_Density,nb_24,average,good
155000,2010,1971,8816,1010,1052,1,0,3,2,440,Y,Residential_Low_Density,nb_16,average,good
159000,2010,1996,11105,870,965,1,0,2,2,580,Y,Residential_Low_Density,nb_08,average,average
150000,2010,1977,15240,1026,1026,1,1,3,1,308,Y,Residential_Low_Density,nb_08,average,good
161750,2010,1977,10900,689,1392,1,1,3,1,299,Y,Residential_Low_Density,nb_08,average,good
128200,2010,1976,10650,894,894,1,0,3,1,308,Y,Residential_Low_Density,nb_08,average,average
127000,2010,1972,7480,876,876,1,0,3,2,484,Y,Residential_Low_Density,nb_08,average,average
272000,2010,2001,11423,1581,1601,2,0,3,2,670,Y,Residential_Low_Density,nb_08,good,average
237000,2010,2003,9548,941,1829,2,1,3,2,613,Y,Residential_Low_Density,nb_08,good,average
240000,2010,1997,9375,1040,2098,2,1,4,2,621,Y,Residential_Low_Density,nb_08,good,average
143750,2010,2003,4435,848,848,1,0,1,2,420,Y,Residential_Medium_Density,nb_08,average,average
232000,2010,2003,10635,1657,1668,2,0,3,2,502,Y,Residential_Low_Density,nb_08,good,average
213000,2010,2004,8400,1473,1484,2,0,3,2,606,Y,Residential_Low_Density,nb_08,good,average
84900,2010,1945,8777,0,640,1,0,2,1,240,N,Residential_Low_Density,nb_01,fair,average
100000,2010,1965,9825,0,1664,2,0,4,0,0,N,Residential_Low_Density,nb_01,average,average
125200,2010,1975,6305,1008,1096,1,0,3,1,352,Y,Residential_Low_Density,nb_01,average,average
90000,2010,1958,6410,960,960,1,0,3,0,0,Y,Residential_Low_Density,nb_01,average,average
140000,2010,2003,8546,1121,1121,2,0,2,2,440,Y,Residential_Medium_Density,nb_01,average,average
113000,2010,1945,8741,735,1487,1,1,3,1,220,Y,Residential_Low_Density,nb_01,average,average
80000,2010,1941,12180,672,924,1,0,2,1,280,N,Residential_Low_Density,nb_01,average,average
104000,2010,1924,4853,1107,1296,2,0,2,1,260,N,Residential_Low_Density,nb_11,average,average
127000,2010,1924,5000,1026,1691,2,0,3,1,308,Y,Residential_Low_Density,nb_11,average,average
100000,2010,1931,9839,894,1666,1,0,3,0,0,Y,Residential_Low_Density,nb_11,average,poor
257500,2010,1941,10452,1528,2133,1,1,4,1,312,Y,Residential_Low_Density,nb_05,good,average
215000,2010,1950,15600,1032,2177,2,1,5,2,484,Y,Residential_Low_Density,nb_05,average,average
266500,2010,1941,9042,1152,2340,2,0,4,1,252,Y,Residential_Low_Density,nb_05,good,excellent
203135,2010,1994,19645,423,1652,2,1,3,2,473,Y,Residential_Low_Density,nb_05,good,average
289000,2010,1959,15602,1501,1801,2,0,1,2,484,Y,Residential_Low_Density,nb_05,good,good
125500,2010,1922,5436,796,1154,1,0,3,1,240,Y,Residential_Medium_Density,nb_06,average,good
82000,2010,1941,8154,480,540,1,0,1,1,200,Y,Residential_Medium_Density,nb_06,poor,average
246000,2010,2004,3811,1594,1646,2,0,2,2,525,Y,Residential_Medium_Density,nb_05,good,average
254900,2010,1998,11050,1049,1916,2,1,3,3,741,Y,Residential_Low_Density,nb_20,good,average
190000,2010,1977,9620,1243,1285,2,0,3,2,473,Y,Residential_Low_Density,nb_20,average,good
170000,2010,1976,12760,1958,2048,3,0,5,2,776,Y,Residential_Low_Density,nb_20,average,average
174000,2010,2006,9802,384,1444,2,1,3,2,400,Y,Residential_Low_Density,nb_21,average,average
214900,2010,2002,11316,817,1894,2,1,4,2,510,Y,Residential_Low_Density,nb_21,good,average
202900,2010,2002,14191,967,1908,2,1,4,2,431,Y,Residential_Low_Density,nb_21,good,average
378500,2010,2008,13214,2002,2018,2,0,3,3,746,Y,Residential_Low_Density,nb_21,excellent,average
173500,2010,2004,10114,1430,1430,2,0,3,2,624,Y,Residential_Low_Density,nb_20,average,average
139000,2010,1971,9400,912,1824,2,2,4,0,0,Y,Residential_Low_Density,nb_20,average,average
166500,2010,1999,11875,1344,1344,2,0,3,2,686,Y,Residential_Low_Density,nb_20,average,average
85000,2010,1976,2592,536,1112,1,1,3,1,336,Y,Residential_Medium_Density,nb_02,average,fair
76000,2010,1970,1476,546,1092,1,1,3,0,0,Y,Residential_Medium_Density,nb_02,average,good
75500,2010,1972,1491,630,630,1,0,1,0,0,Y,Residential_Medium_Density,nb_02,average,average
85500,2010,1972,1890,546,1092,1,1,3,1,286,Y,Residential_Medium_Density,nb_02,average,average
130000,2010,1971,6953,864,874,1,0,3,1,352,Y,Residential_Low_Density,nb_20,average,good
157900,2010,1962,26142,1188,1188,1,0,3,1,312,Y,Residential_Low_Density,nb_20,average,good
149900,2010,1984,12887,833,833,1,0,2,2,495,Y,Residential_Low_Density,nb_20,average,good
136000,2010,1991,10475,624,1274,1,1,3,2,576,Y,Residential_Low_Density,nb_20,average,average
161000,2010,1969,10544,864,1479,2,0,5,1,275,Y,Residential_Low_Density,nb_20,average,average
285000,2010,1994,9892,1679,1803,2,1,3,2,482,Y,Residential_Low_Density,nb_20,good,average
231000,2010,1993,12961,1152,1797,2,1,3,2,616,Y,Residential_Low_Density,nb_20,average,average
124500,2009,1956,13008,882,882,1,0,2,1,502,Y,Residential_Low_Density,nb_07,average,average
157000,2009,1974,10200,1434,1434,2,0,4,2,528,Y,Residential_Low_Density,nb_07,average,average
189500,2009,1997,10179,945,1608,2,1,3,2,470,Y,Residential_Low_Density,nb_22,average,average
270000,2009,2003,11792,1008,2283,2,1,4,3,632,Y,Residential_Low_Density,nb_22,good,average
189000,2009,1996,8400,384,1628,2,1,3,2,390,Y,Residential_Low_Density,nb_22,good,average
377500,2009,2006,14892,1746,1746,2,0,3,3,758,Y,Residential_Low_Density,nb_22,excellent,average
168500,2009,1995,8530,384,1474,2,1,3,2,400,Y,Residential_Low_Density,nb_22,good,average
240000,2009,1998,7380,1418,1478,2,0,2,2,495,Y,Residential_Low_Density,nb_10,good,average
239500,2009,1995,8013,1587,1734,2,0,2,2,528,Y,Residential_Low_Density,nb_10,good,average
185000,2009,1993,9765,680,1470,2,1,3,2,420,Y,Residential_Low_Density,nb_22,average,good
181316,2009,1994,8803,707,1516,2,1,3,2,409,Y,Residential_Low_Density,nb_22,average,average
166000,2009,1993,7250,1181,1190,2,0,3,2,430,Y,Residential_Low_Density,nb_22,average,average
178000,2009,1992,9636,808,1593,2,1,3,2,389,Y,Residential_Low_Density,nb_22,average,average
174000,2009,1994,8125,702,1481,2,1,3,2,343,Y,Residential_Low_Density,nb_22,average,average
173000,2009,1992,9248,1158,1167,2,0,3,2,400,Y,Residential_Low_Density,nb_22,average,average
225000,2009,1999,10762,978,1983,2,1,3,2,490,Y,Residential_Low_Density,nb_22,good,average
180500,2009,1990,11851,1424,1442,2,0,3,2,500,Y,Residential_Low_Density,nb_22,good,average
260000,2009,2005,16158,1530,1530,2,0,3,2,430,Y,Residential_Low_Density,nb_10,good,average
185000,2009,1977,11900,1122,1934,2,1,3,2,567,Y,Residential_Low_Density,nb_22,average,average
260000,2009,1980,13005,845,2353,2,1,4,2,484,Y,Residential_Low_Density,nb_04,good,good
215000,2009,1977,16635,1602,1602,2,0,3,2,529,Y,Residential_Low_Density,nb_04,average,good
200000,2009,1978,10928,1427,1671,2,0,3,2,484,Y,Residential_Low_Density,nb_04,average,average
249000,2009,1980,12388,1043,2673,2,1,4,2,441,Y,Residential_Low_Density,nb_04,good,good
187500,2009,1980,14115,1372,1472,2,0,3,2,588,Y,Residential_Low_Density,nb_04,good,average
278000,2009,1981,9600,2524,2524,2,1,4,2,542,Y,Residential_Low_Density,nb_04,good,average
197500,2009,1976,10304,780,1868,2,1,4,2,484,Y,Residential_Low_Density,nb_04,average,good
158000,2009,1975,11050,1176,1193,2,0,3,2,506,Y,Residential_Low_Density,nb_04,good,average
136000,2009,1974,9000,896,1792,2,2,4,0,0,Y,Residential_Low_Density,nb_07,average,average
128000,2009,1970,7830,1180,1180,1,1,2,2,477,Y,Residential_Low_Density,nb_07,average,average
120500,2009,1970,6960,864,864,1,0,3,2,660,Y,Residential_Low_Density,nb_07,average,average
124500,2009,1970,8120,864,864,1,0,3,2,463,Y,Residential_Low_Density,nb_07,average,good
130000,2009,1971,9000,864,864,1,0,3,2,576,Y,Residential_Low_Density,nb_07,average,good
111000,2009,1973,1680,483,987,1,1,2,1,264,Y,Residential_Medium_Density,nb_09,average,average
97000,2009,1972,1680,483,987,1,1,2,1,288,Y,Residential_Medium_Density,nb_09,average,average
118000,2009,1972,1680,483,987,1,1,2,1,264,Y,Residential_Medium_Density,nb_09,average,good
119500,2009,1972,1680,630,1302,2,1,3,1,264,Y,Residential_Medium_Density,nb_09,average,good
146000,2009,1976,2308,804,1548,2,1,3,2,440,Y,Residential_Low_Density,nb_18,average,average
148500,2009,1976,2280,855,1456,2,1,3,2,440,Y,Residential_Low_Density,nb_18,average,average
147000,2009,1974,2308,855,1322,2,1,3,2,440,Y,Residential_Low_Density,nb_18,average,average
148500,2009,1978,2289,855,1441,2,1,3,2,440,Y,Residential_Low_Density,nb_18,average,average
138000,2009,1978,2364,855,1456,2,1,3,2,440,Y,Residential_Low_Density,nb_18,average,average
128500,2009,1976,2104,836,836,1,0,2,1,345,Y,Residential_Low_Density,nb_18,good,average
100000,2009,1967,7150,892,892,1,0,3,1,288,Y,Residential_Low_Density,nb_07,average,average
337500,2009,2006,12456,1700,1718,2,0,3,3,786,Y,Residential_Low_Density,nb_03,excellent,average
256300,2009,2007,14230,1566,1600,2,0,3,3,890,Y,Residential_Low_Density,nb_03,good,average
404000,2009,2008,12350,2020,2020,2,0,3,3,896,Y,Residential_Low_Density,nb_03,excellent,average
610000,2009,2007,13693,2630,2674,2,1,2,3,762,Y,Residential_Low_Density,nb_03,excellent,average
296000,2009,2004,16870,1782,1782,2,0,3,3,932,Y,Residential_Low_Density,nb_03,good,average
255500,2009,2006,11146,1709,1717,2,0,3,3,908,Y,Residential_Low_Density,nb_03,good,average
335000,2009,2008,10367,1739,1743,2,0,3,3,927,Y,Residential_Low_Density,nb_03,excellent,average
274900,2009,2004,9591,1713,1713,2,0,3,3,856,Y,Residential_Low_Density,nb_03,good,average
300000,2009,2006,10872,1504,1531,2,0,2,3,700,Y,Residential_Low_Density,nb_03,excellent,average
324000,2009,2008,13514,1774,1808,2,0,3,3,850,Y,Residential_Low_Density,nb_03,excellent,average
350000,2009,2004,8834,1462,2224,2,1,4,3,738,Y,Residential_Low_Density,nb_03,excellent,average
284000,2009,2003,10655,3206,1629,2,0,3,3,880,Y,Residential_Low_Density,nb_03,good,average
269500,2009,2003,12878,1760,1760,2,0,3,2,583,Y,Residential_Low_Density,nb_03,good,average
386250,2009,2003,13472,2392,2392,2,0,3,3,968,Y,Residential_Low_Density,nb_03,excellent,average
445000,2009,2003,15274,2452,2452,2,0,3,3,886,Y,Residential_Low_Density,nb_03,excellent,average
290000,2009,2003,13262,1082,2400,3,1,4,3,730,Y,Residential_Low_Density,nb_03,good,average
255900,2009,2006,9658,1598,1606,2,0,3,3,871,Y,Residential_Low_Density,nb_03,good,average
213000,2009,2005,6904,1358,1358,2,0,2,2,484,Y,Residential_Low_Density,nb_03,average,average
196000,2009,2005,5381,1306,1306,2,0,1,2,624,Y,Residential_Low_Density,nb_03,average,average
212500,2009,2007,10307,1350,1358,2,0,2,2,484,Y,Residential_Low_Density,nb_03,good,average
230000,2009,2007,5001,1314,1314,2,0,2,2,626,Y,Residential_Low_Density,nb_03,good,average
286500,2009,2002,16770,1712,1712,2,0,3,3,701,Y,Residential_Low_Density,nb_03,good,average
254000,2009,2006,6240,1324,1324,2,0,2,2,550,Y,Residential_Low_Density,nb_03,good,average
173000,2009,2003,2268,764,1626,2,0,2,2,474,Y,Residential_Low_Density,nb_03,good,average
184000,2009,2005,10928,728,1456,2,1,3,2,390,Y,Residential_Low_Density,nb_22,good,average
167800,2009,2005,8918,745,1490,2,1,3,2,392,Y,Residential_Low_Density,nb_22,average,average
174000,2009,2005,12589,742,1484,2,1,3,2,390,Y,Residential_Low_Density,nb_22,average,average
174000,2009,2005,11911,684,1560,2,1,3,2,400,Y,Residential_Low_Density,nb_22,average,average
192500,2009,2005,3182,1373,1555,2,0,2,2,430,Y,Residential_Low_Density,nb_14,good,average
181000,2009,2005,3182,1346,1504,2,0,1,2,457,Y,Residential_Low_Density,nb_14,good,average
180000,2009,2005,3182,1220,1220,2,0,2,2,397,Y,Residential_Low_Density,nb_14,good,average
160200,2009,2005,3182,1145,1145,2,0,2,2,397,Y,Residential_Low_Density,nb_14,good,average
188500,2009,2004,7795,716,1432,2,1,3,2,432,Y,Residential_Low_Density,nb_22,good,average
200000,2009,2002,8068,1010,2267,2,1,4,2,390,Y,Residential_Low_Density,nb_22,average,average
170000,2009,2004,9434,384,1374,2,1,3,2,400,Y,Residential_Low_Density,nb_22,good,average
192000,2009,2003,8965,782,1489,2,1,3,2,400,Y,Residential_Low_Density,nb_22,good,average
178000,2009,2003,8174,698,1342,2,1,3,2,393,Y,Residential_Low_Density,nb_22,good,average
236000,2009,2000,8795,952,2256,2,1,4,2,554,Y,Residential_Low_Density,nb_22,good,average
257500,2009,2002,12891,870,2004,2,1,4,3,644,Y,Residential_Low_Density,nb_22,good,average
167000,2009,2004,9734,384,1374,2,1,3,2,400,Y,Residential_Low_Density,nb_22,good,average
179000,2009,2000,8123,982,1800,2,1,3,2,463,Y,Residential_Low_Density,nb_22,average,average
